nodeName	altName	nodeAttr[nodesPresent, ]
327	NA	lightpink2
837	NA	lightpink2
868	NA	lightpink2
901	NA	lightpink2
1046	NA	lightpink2
1509	NA	lightpink2
2797	NA	lightpink2
3356	NA	lightpink2
3425	NA	lightpink2
3560	NA	lightpink2
4794	NA	lightpink2
5104	NA	lightpink2
5251	NA	lightpink2
5258	NA	lightpink2
5413	NA	lightpink2
5648	NA	lightpink2
6110	NA	lightpink2
6693	NA	lightpink2
6831	NA	lightpink2
7667	NA	lightpink2
8026	NA	lightpink2
8155	NA	lightpink2
8381	NA	lightpink2
8556	NA	lightpink2
8674	NA	lightpink2
8780	NA	lightpink2
8844	NA	lightpink2
9723	NA	lightpink2
10419	NA	lightpink2
10464	NA	lightpink2
10950	NA	lightpink2
11465	NA	lightpink2
11723	NA	lightpink2
12121	NA	lightpink2
12674	NA	lightpink2
13038	NA	lightpink2
13287	NA	lightpink2
13382	NA	lightpink2
13483	NA	lightpink2
13490	NA	lightpink2
13637	NA	lightpink2
13961	NA	lightpink2
14653	NA	lightpink2
15146	NA	lightpink2
15454	NA	lightpink2
