nodeName	altName	nodeAttr[nodesPresent, ]
321	NA	yellow2
1170	NA	yellow2
1352	NA	yellow2
1508	NA	yellow2
1762	NA	yellow2
2721	NA	yellow2
3340	NA	yellow2
3750	NA	yellow2
3976	NA	yellow2
4195	NA	yellow2
4465	NA	yellow2
4653	NA	yellow2
5236	NA	yellow2
7554	NA	yellow2
7589	NA	yellow2
8082	NA	yellow2
8087	NA	yellow2
8543	NA	yellow2
9190	NA	yellow2
9351	NA	yellow2
9547	NA	yellow2
10370	NA	yellow2
10707	NA	yellow2
10875	NA	yellow2
10878	NA	yellow2
11185	NA	yellow2
11198	NA	yellow2
11242	NA	yellow2
11632	NA	yellow2
11649	NA	yellow2
12597	NA	yellow2
12823	NA	yellow2
13694	NA	yellow2
13721	NA	yellow2
14181	NA	yellow2
14410	NA	yellow2
14649	NA	yellow2
14848	NA	yellow2
15031	NA	yellow2
15573	NA	yellow2
15742	NA	yellow2
