nodeName	altName	nodeAttr[nodesPresent, ]
13	NA	black
87	NA	black
132	NA	black
144	NA	black
146	NA	black
187	NA	black
195	NA	black
236	NA	black
271	NA	black
274	NA	black
368	NA	black
422	NA	black
481	NA	black
580	NA	black
586	NA	black
629	NA	black
663	NA	black
668	NA	black
703	NA	black
729	NA	black
743	NA	black
801	NA	black
880	NA	black
930	NA	black
948	NA	black
980	NA	black
987	NA	black
994	NA	black
995	NA	black
1007	NA	black
1022	NA	black
1032	NA	black
1108	NA	black
1138	NA	black
1151	NA	black
1156	NA	black
1250	NA	black
1275	NA	black
1276	NA	black
1379	NA	black
1383	NA	black
1558	NA	black
1583	NA	black
1617	NA	black
1630	NA	black
1649	NA	black
1651	NA	black
1656	NA	black
1675	NA	black
1692	NA	black
1697	NA	black
1706	NA	black
1724	NA	black
1769	NA	black
1817	NA	black
1826	NA	black
1844	NA	black
1859	NA	black
1883	NA	black
1887	NA	black
1888	NA	black
1931	NA	black
1945	NA	black
1978	NA	black
1987	NA	black
2015	NA	black
2044	NA	black
2119	NA	black
2140	NA	black
2169	NA	black
2221	NA	black
2223	NA	black
2228	NA	black
2238	NA	black
2282	NA	black
2293	NA	black
2337	NA	black
2338	NA	black
2396	NA	black
2421	NA	black
2437	NA	black
2454	NA	black
2493	NA	black
2498	NA	black
2530	NA	black
2572	NA	black
2575	NA	black
2579	NA	black
2595	NA	black
2644	NA	black
2791	NA	black
2798	NA	black
2805	NA	black
2809	NA	black
2842	NA	black
2997	NA	black
3012	NA	black
3032	NA	black
3041	NA	black
3046	NA	black
3059	NA	black
3068	NA	black
3166	NA	black
3183	NA	black
3276	NA	black
3316	NA	black
3354	NA	black
3363	NA	black
3376	NA	black
3384	NA	black
3482	NA	black
3508	NA	black
3528	NA	black
3697	NA	black
3725	NA	black
3746	NA	black
3841	NA	black
3934	NA	black
3956	NA	black
3962	NA	black
3989	NA	black
4041	NA	black
4064	NA	black
4068	NA	black
4097	NA	black
4109	NA	black
4110	NA	black
4138	NA	black
