nodeName	altName	nodeAttr[nodesPresent, ]
260	NA	brown2
545	NA	brown2
569	NA	brown2
712	NA	brown2
907	NA	brown2
924	NA	brown2
1638	NA	brown2
1846	NA	brown2
2418	NA	brown2
2787	NA	brown2
2840	NA	brown2
2913	NA	brown2
3026	NA	brown2
3539	NA	brown2
3790	NA	brown2
4079	NA	brown2
4218	NA	brown2
4237	NA	brown2
4333	NA	brown2
4855	NA	brown2
4932	NA	brown2
5099	NA	brown2
5198	NA	brown2
5238	NA	brown2
5539	NA	brown2
5848	NA	brown2
5898	NA	brown2
5937	NA	brown2
6087	NA	brown2
6586	NA	brown2
6680	NA	brown2
6733	NA	brown2
6887	NA	brown2
6959	NA	brown2
7529	NA	brown2
7727	NA	brown2
8019	NA	brown2
8254	NA	brown2
8255	NA	brown2
8778	NA	brown2
9180	NA	brown2
9503	NA	brown2
9529	NA	brown2
9552	NA	brown2
9783	NA	brown2
9895	NA	brown2
9964	NA	brown2
10063	NA	brown2
10520	NA	brown2
10794	NA	brown2
11097	NA	brown2
11344	NA	brown2
11671	NA	brown2
12169	NA	brown2
12565	NA	brown2
12840	NA	brown2
13343	NA	brown2
13985	NA	brown2
14074	NA	brown2
14518	NA	brown2
15002	NA	brown2
15242	NA	brown2
15315	NA	brown2
15577	NA	brown2
