nodeName	altName	nodeAttr[nodesPresent, ]
1752	NA	chocolate4
1969	NA	chocolate4
2478	NA	chocolate4
2512	NA	chocolate4
2908	NA	chocolate4
3174	NA	chocolate4
3711	NA	chocolate4
3775	NA	chocolate4
3799	NA	chocolate4
4288	NA	chocolate4
4687	NA	chocolate4
5098	NA	chocolate4
5676	NA	chocolate4
5795	NA	chocolate4
6540	NA	chocolate4
6573	NA	chocolate4
7442	NA	chocolate4
7936	NA	chocolate4
8209	NA	chocolate4
8341	NA	chocolate4
9024	NA	chocolate4
9701	NA	chocolate4
10403	NA	chocolate4
10409	NA	chocolate4
10427	NA	chocolate4
10528	NA	chocolate4
10693	NA	chocolate4
11358	NA	chocolate4
11735	NA	chocolate4
12208	NA	chocolate4
12448	NA	chocolate4
12685	NA	chocolate4
12864	NA	chocolate4
12878	NA	chocolate4
12913	NA	chocolate4
13116	NA	chocolate4
13333	NA	chocolate4
13466	NA	chocolate4
14413	NA	chocolate4
14437	NA	chocolate4
14461	NA	chocolate4
14837	NA	chocolate4
15395	NA	chocolate4
