nodeName	altName	nodeAttr[nodesPresent, ]
148	NA	coral
458	NA	coral
571	NA	coral
803	NA	coral
890	NA	coral
1363	NA	coral
1531	NA	coral
1618	NA	coral
1658	NA	coral
2067	NA	coral
2462	NA	coral
2683	NA	coral
2889	NA	coral
3256	NA	coral
3487	NA	coral
3682	NA	coral
3756	NA	coral
3912	NA	coral
4652	NA	coral
4829	NA	coral
5248	NA	coral
5396	NA	coral
5407	NA	coral
5932	NA	coral
5979	NA	coral
6014	NA	coral
6064	NA	coral
6312	NA	coral
6992	NA	coral
6996	NA	coral
7078	NA	coral
7275	NA	coral
7630	NA	coral
8046	NA	coral
8214	NA	coral
8228	NA	coral
8424	NA	coral
8496	NA	coral
9038	NA	coral
9453	NA	coral
10037	NA	coral
10301	NA	coral
10374	NA	coral
10499	NA	coral
10943	NA	coral
11132	NA	coral
11201	NA	coral
12179	NA	coral
12223	NA	coral
12553	NA	coral
13220	NA	coral
14159	NA	coral
14509	NA	coral
14552	NA	coral
15091	NA	coral
15117	NA	coral
