nodeName	altName	nodeAttr[nodesPresent, ]
795	NA	coral2
1134	NA	coral2
1229	NA	coral2
1289	NA	coral2
1612	NA	coral2
1655	NA	coral2
2393	NA	coral2
2673	NA	coral2
2703	NA	coral2
3005	NA	coral2
3306	NA	coral2
3396	NA	coral2
3531	NA	coral2
3712	NA	coral2
3838	NA	coral2
4157	NA	coral2
4335	NA	coral2
4808	NA	coral2
5279	NA	coral2
5492	NA	coral2
5516	NA	coral2
5656	NA	coral2
5784	NA	coral2
5810	NA	coral2
6005	NA	coral2
6074	NA	coral2
6164	NA	coral2
6850	NA	coral2
7046	NA	coral2
7195	NA	coral2
7405	NA	coral2
7638	NA	coral2
8050	NA	coral2
8296	NA	coral2
8334	NA	coral2
8509	NA	coral2
8573	NA	coral2
8954	NA	coral2
9073	NA	coral2
9438	NA	coral2
9478	NA	coral2
9480	NA	coral2
9710	NA	coral2
9744	NA	coral2
9838	NA	coral2
9951	NA	coral2
10213	NA	coral2
11034	NA	coral2
11297	NA	coral2
11349	NA	coral2
11356	NA	coral2
11521	NA	coral2
11622	NA	coral2
11812	NA	coral2
11984	NA	coral2
12272	NA	coral2
12702	NA	coral2
12897	NA	coral2
13362	NA	coral2
13419	NA	coral2
13421	NA	coral2
13631	NA	coral2
13933	NA	coral2
13984	NA	coral2
14397	NA	coral2
14944	NA	coral2
15004	NA	coral2
15050	NA	coral2
15472	NA	coral2
15686	NA	coral2
15706	NA	coral2
