nodeName	altName	nodeAttr[nodesPresent, ]
539	NA	deeppink1
1406	NA	deeppink1
1777	NA	deeppink1
2175	NA	deeppink1
2305	NA	deeppink1
2469	NA	deeppink1
3846	NA	deeppink1
4815	NA	deeppink1
4859	NA	deeppink1
4946	NA	deeppink1
5189	NA	deeppink1
5627	NA	deeppink1
6821	NA	deeppink1
7354	NA	deeppink1
7475	NA	deeppink1
7680	NA	deeppink1
7815	NA	deeppink1
8236	NA	deeppink1
8801	NA	deeppink1
9463	NA	deeppink1
9615	NA	deeppink1
10451	NA	deeppink1
10532	NA	deeppink1
10968	NA	deeppink1
12270	NA	deeppink1
12406	NA	deeppink1
13326	NA	deeppink1
14176	NA	deeppink1
14244	NA	deeppink1
14502	NA	deeppink1
15162	NA	deeppink1
15369	NA	deeppink1
15607	NA	deeppink1
