nodeName	altName	nodeAttr[nodesPresent, ]
597	NA	honeydew
680	NA	honeydew
859	NA	honeydew
1099	NA	honeydew
1222	NA	honeydew
1600	NA	honeydew
1832	NA	honeydew
1880	NA	honeydew
2113	NA	honeydew
2583	NA	honeydew
2949	NA	honeydew
2990	NA	honeydew
3014	NA	honeydew
3034	NA	honeydew
3254	NA	honeydew
3702	NA	honeydew
4073	NA	honeydew
4258	NA	honeydew
4620	NA	honeydew
4766	NA	honeydew
4817	NA	honeydew
4886	NA	honeydew
5879	NA	honeydew
5887	NA	honeydew
5910	NA	honeydew
6066	NA	honeydew
6086	NA	honeydew
6343	NA	honeydew
6932	NA	honeydew
7005	NA	honeydew
7172	NA	honeydew
8503	NA	honeydew
8732	NA	honeydew
9092	NA	honeydew
9139	NA	honeydew
9148	NA	honeydew
9257	NA	honeydew
9288	NA	honeydew
9314	NA	honeydew
10047	NA	honeydew
10282	NA	honeydew
10803	NA	honeydew
11440	NA	honeydew
11674	NA	honeydew
11705	NA	honeydew
11742	NA	honeydew
11817	NA	honeydew
12063	NA	honeydew
12081	NA	honeydew
13066	NA	honeydew
13109	NA	honeydew
13720	NA	honeydew
13828	NA	honeydew
14684	NA	honeydew
15074	NA	honeydew
15413	NA	honeydew
15639	NA	honeydew
