nodeName	altName	nodeAttr[nodesPresent, ]
20	NA	lightslateblue
35	NA	lightslateblue
59	NA	lightslateblue
485	NA	lightslateblue
511	NA	lightslateblue
1150	NA	lightslateblue
2090	NA	lightslateblue
2509	NA	lightslateblue
2556	NA	lightslateblue
3025	NA	lightslateblue
3240	NA	lightslateblue
3408	NA	lightslateblue
3613	NA	lightslateblue
3675	NA	lightslateblue
4119	NA	lightslateblue
4284	NA	lightslateblue
4617	NA	lightslateblue
5170	NA	lightslateblue
5441	NA	lightslateblue
5616	NA	lightslateblue
5685	NA	lightslateblue
5702	NA	lightslateblue
5842	NA	lightslateblue
5862	NA	lightslateblue
6009	NA	lightslateblue
6115	NA	lightslateblue
6154	NA	lightslateblue
6505	NA	lightslateblue
7121	NA	lightslateblue
7214	NA	lightslateblue
7828	NA	lightslateblue
8009	NA	lightslateblue
8310	NA	lightslateblue
9002	NA	lightslateblue
9504	NA	lightslateblue
9605	NA	lightslateblue
9992	NA	lightslateblue
10372	NA	lightslateblue
10460	NA	lightslateblue
11060	NA	lightslateblue
11450	NA	lightslateblue
11796	NA	lightslateblue
12298	NA	lightslateblue
13188	NA	lightslateblue
13522	NA	lightslateblue
13728	NA	lightslateblue
13880	NA	lightslateblue
14666	NA	lightslateblue
15169	NA	lightslateblue
15212	NA	lightslateblue
15586	NA	lightslateblue
