nodeName	altName	nodeAttr[nodesPresent, ]
72	NA	lightsteelblue
445	NA	lightsteelblue
646	NA	lightsteelblue
1085	NA	lightsteelblue
1157	NA	lightsteelblue
1200	NA	lightsteelblue
1251	NA	lightsteelblue
1422	NA	lightsteelblue
1810	NA	lightsteelblue
2039	NA	lightsteelblue
2859	NA	lightsteelblue
3063	NA	lightsteelblue
3789	NA	lightsteelblue
4016	NA	lightsteelblue
4042	NA	lightsteelblue
4084	NA	lightsteelblue
4211	NA	lightsteelblue
4752	NA	lightsteelblue
5233	NA	lightsteelblue
5263	NA	lightsteelblue
5307	NA	lightsteelblue
5573	NA	lightsteelblue
5723	NA	lightsteelblue
6389	NA	lightsteelblue
6439	NA	lightsteelblue
6462	NA	lightsteelblue
6607	NA	lightsteelblue
6625	NA	lightsteelblue
7039	NA	lightsteelblue
7838	NA	lightsteelblue
8147	NA	lightsteelblue
8156	NA	lightsteelblue
8179	NA	lightsteelblue
8355	NA	lightsteelblue
8539	NA	lightsteelblue
8798	NA	lightsteelblue
8883	NA	lightsteelblue
9119	NA	lightsteelblue
9223	NA	lightsteelblue
9378	NA	lightsteelblue
9632	NA	lightsteelblue
9761	NA	lightsteelblue
9791	NA	lightsteelblue
10168	NA	lightsteelblue
10763	NA	lightsteelblue
10975	NA	lightsteelblue
11186	NA	lightsteelblue
11318	NA	lightsteelblue
11567	NA	lightsteelblue
11853	NA	lightsteelblue
11876	NA	lightsteelblue
12188	NA	lightsteelblue
12763	NA	lightsteelblue
13113	NA	lightsteelblue
13340	NA	lightsteelblue
13646	NA	lightsteelblue
13972	NA	lightsteelblue
14163	NA	lightsteelblue
14288	NA	lightsteelblue
14659	NA	lightsteelblue
14708	NA	lightsteelblue
14828	NA	lightsteelblue
14948	NA	lightsteelblue
14969	NA	lightsteelblue
15063	NA	lightsteelblue
15442	NA	lightsteelblue
15469	NA	lightsteelblue
