nodeName	altName	nodeAttr[nodesPresent, ]
91	NA	mediumorchid
365	NA	mediumorchid
461	NA	mediumorchid
835	NA	mediumorchid
1160	NA	mediumorchid
1783	NA	mediumorchid
1793	NA	mediumorchid
1907	NA	mediumorchid
2189	NA	mediumorchid
2628	NA	mediumorchid
2692	NA	mediumorchid
2698	NA	mediumorchid
2753	NA	mediumorchid
3255	NA	mediumorchid
3258	NA	mediumorchid
3410	NA	mediumorchid
3665	NA	mediumorchid
3830	NA	mediumorchid
3901	NA	mediumorchid
4304	NA	mediumorchid
4869	NA	mediumorchid
5415	NA	mediumorchid
5922	NA	mediumorchid
6151	NA	mediumorchid
6455	NA	mediumorchid
6856	NA	mediumorchid
7634	NA	mediumorchid
7793	NA	mediumorchid
7881	NA	mediumorchid
8168	NA	mediumorchid
8349	NA	mediumorchid
8393	NA	mediumorchid
8497	NA	mediumorchid
8768	NA	mediumorchid
9040	NA	mediumorchid
9059	NA	mediumorchid
9091	NA	mediumorchid
9585	NA	mediumorchid
9763	NA	mediumorchid
10024	NA	mediumorchid
10068	NA	mediumorchid
10189	NA	mediumorchid
10510	NA	mediumorchid
10581	NA	mediumorchid
10585	NA	mediumorchid
10680	NA	mediumorchid
10750	NA	mediumorchid
11161	NA	mediumorchid
11286	NA	mediumorchid
11299	NA	mediumorchid
11860	NA	mediumorchid
12177	NA	mediumorchid
12186	NA	mediumorchid
12265	NA	mediumorchid
12422	NA	mediumorchid
12680	NA	mediumorchid
12698	NA	mediumorchid
12720	NA	mediumorchid
12981	NA	mediumorchid
13143	NA	mediumorchid
13152	NA	mediumorchid
13454	NA	mediumorchid
13589	NA	mediumorchid
13665	NA	mediumorchid
13715	NA	mediumorchid
14136	NA	mediumorchid
14151	NA	mediumorchid
14297	NA	mediumorchid
14448	NA	mediumorchid
15322	NA	mediumorchid
