nodeName	altName	nodeAttr[nodesPresent, ]
829	NA	navajowhite
2687	NA	navajowhite
2924	NA	navajowhite
3202	NA	navajowhite
3683	NA	navajowhite
4193	NA	navajowhite
4199	NA	navajowhite
4408	NA	navajowhite
4798	NA	navajowhite
4952	NA	navajowhite
5241	NA	navajowhite
5303	NA	navajowhite
5305	NA	navajowhite
5814	NA	navajowhite
5871	NA	navajowhite
6003	NA	navajowhite
6416	NA	navajowhite
6474	NA	navajowhite
6595	NA	navajowhite
6720	NA	navajowhite
7218	NA	navajowhite
8052	NA	navajowhite
8326	NA	navajowhite
8500	NA	navajowhite
8514	NA	navajowhite
8697	NA	navajowhite
9350	NA	navajowhite
9506	NA	navajowhite
9675	NA	navajowhite
9748	NA	navajowhite
10350	NA	navajowhite
10609	NA	navajowhite
10689	NA	navajowhite
11623	NA	navajowhite
11913	NA	navajowhite
12344	NA	navajowhite
12391	NA	navajowhite
12733	NA	navajowhite
13931	NA	navajowhite
14449	NA	navajowhite
14611	NA	navajowhite
14639	NA	navajowhite
14790	NA	navajowhite
15447	NA	navajowhite
15578	NA	navajowhite
15741	NA	navajowhite
