nodeName	altName	nodeAttr[nodesPresent, ]
116	NA	paleturquoise
149	NA	paleturquoise
200	NA	paleturquoise
223	NA	paleturquoise
281	NA	paleturquoise
357	NA	paleturquoise
426	NA	paleturquoise
636	NA	paleturquoise
650	NA	paleturquoise
745	NA	paleturquoise
1015	NA	paleturquoise
1202	NA	paleturquoise
1257	NA	paleturquoise
1286	NA	paleturquoise
1327	NA	paleturquoise
1329	NA	paleturquoise
1867	NA	paleturquoise
1868	NA	paleturquoise
1962	NA	paleturquoise
2035	NA	paleturquoise
2215	NA	paleturquoise
2341	NA	paleturquoise
2381	NA	paleturquoise
2433	NA	paleturquoise
2503	NA	paleturquoise
2617	NA	paleturquoise
2802	NA	paleturquoise
2887	NA	paleturquoise
2963	NA	paleturquoise
3043	NA	paleturquoise
3054	NA	paleturquoise
3170	NA	paleturquoise
3236	NA	paleturquoise
3371	NA	paleturquoise
3453	NA	paleturquoise
3499	NA	paleturquoise
3644	NA	paleturquoise
3676	NA	paleturquoise
3704	NA	paleturquoise
3754	NA	paleturquoise
3950	NA	paleturquoise
4365	NA	paleturquoise
4488	NA	paleturquoise
4592	NA	paleturquoise
4619	NA	paleturquoise
4691	NA	paleturquoise
4732	NA	paleturquoise
4783	NA	paleturquoise
4955	NA	paleturquoise
5014	NA	paleturquoise
5026	NA	paleturquoise
5055	NA	paleturquoise
5080	NA	paleturquoise
5283	NA	paleturquoise
5293	NA	paleturquoise
5335	NA	paleturquoise
5397	NA	paleturquoise
5637	NA	paleturquoise
5774	NA	paleturquoise
5911	NA	paleturquoise
5967	NA	paleturquoise
5997	NA	paleturquoise
6105	NA	paleturquoise
6372	NA	paleturquoise
6441	NA	paleturquoise
6593	NA	paleturquoise
6838	NA	paleturquoise
6840	NA	paleturquoise
7021	NA	paleturquoise
7107	NA	paleturquoise
7310	NA	paleturquoise
7870	NA	paleturquoise
7952	NA	paleturquoise
8011	NA	paleturquoise
8055	NA	paleturquoise
8151	NA	paleturquoise
8232	NA	paleturquoise
8521	NA	paleturquoise
8993	NA	paleturquoise
9054	NA	paleturquoise
9110	NA	paleturquoise
9486	NA	paleturquoise
9532	NA	paleturquoise
9714	NA	paleturquoise
10217	NA	paleturquoise
10471	NA	paleturquoise
10572	NA	paleturquoise
10590	NA	paleturquoise
10616	NA	paleturquoise
10775	NA	paleturquoise
10935	NA	paleturquoise
10964	NA	paleturquoise
11100	NA	paleturquoise
11126	NA	paleturquoise
11169	NA	paleturquoise
11282	NA	paleturquoise
11482	NA	paleturquoise
11539	NA	paleturquoise
11934	NA	paleturquoise
12060	NA	paleturquoise
12271	NA	paleturquoise
12280	NA	paleturquoise
12345	NA	paleturquoise
12388	NA	paleturquoise
12541	NA	paleturquoise
12569	NA	paleturquoise
12635	NA	paleturquoise
12865	NA	paleturquoise
12866	NA	paleturquoise
12933	NA	paleturquoise
13062	NA	paleturquoise
13395	NA	paleturquoise
13404	NA	paleturquoise
13438	NA	paleturquoise
13546	NA	paleturquoise
13846	NA	paleturquoise
14252	NA	paleturquoise
14476	NA	paleturquoise
14576	NA	paleturquoise
14620	NA	paleturquoise
14668	NA	paleturquoise
14996	NA	paleturquoise
15089	NA	paleturquoise
15502	NA	paleturquoise
15738	NA	paleturquoise
