nodeName	altName	nodeAttr[nodesPresent, ]
166	NA	pink4
247	NA	pink4
257	NA	pink4
329	NA	pink4
482	NA	pink4
1028	NA	pink4
1430	NA	pink4
2128	NA	pink4
2208	NA	pink4
2515	NA	pink4
3625	NA	pink4
3643	NA	pink4
3709	NA	pink4
4011	NA	pink4
4072	NA	pink4
4298	NA	pink4
4413	NA	pink4
5288	NA	pink4
5701	NA	pink4
5867	NA	pink4
6173	NA	pink4
6669	NA	pink4
7182	NA	pink4
7243	NA	pink4
7500	NA	pink4
7886	NA	pink4
8037	NA	pink4
8268	NA	pink4
8657	NA	pink4
8667	NA	pink4
9090	NA	pink4
9349	NA	pink4
9531	NA	pink4
9778	NA	pink4
9971	NA	pink4
10762	NA	pink4
10858	NA	pink4
10909	NA	pink4
11775	NA	pink4
11896	NA	pink4
12147	NA	pink4
12375	NA	pink4
12603	NA	pink4
13162	NA	pink4
13218	NA	pink4
14915	NA	pink4
15120	NA	pink4
15165	NA	pink4
15172	NA	pink4
15489	NA	pink4
15499	NA	pink4
15513	NA	pink4
