nodeName	altName	nodeAttr[nodesPresent, ]
97	NA	powderblue
264	NA	powderblue
265	NA	powderblue
311	NA	powderblue
881	NA	powderblue
2094	NA	powderblue
2806	NA	powderblue
3133	NA	powderblue
3583	NA	powderblue
3928	NA	powderblue
4563	NA	powderblue
4881	NA	powderblue
5330	NA	powderblue
5522	NA	powderblue
5561	NA	powderblue
6867	NA	powderblue
7773	NA	powderblue
8219	NA	powderblue
9197	NA	powderblue
9399	NA	powderblue
10152	NA	powderblue
10595	NA	powderblue
10963	NA	powderblue
11129	NA	powderblue
11618	NA	powderblue
12288	NA	powderblue
12395	NA	powderblue
12518	NA	powderblue
12769	NA	powderblue
13279	NA	powderblue
14450	NA	powderblue
14470	NA	powderblue
15221	NA	powderblue
