nodeName	altName	nodeAttr[nodesPresent, ]
731	NA	slateblue
1077	NA	slateblue
2492	NA	slateblue
3620	NA	slateblue
3630	NA	slateblue
4053	NA	slateblue
4585	NA	slateblue
4913	NA	slateblue
5069	NA	slateblue
5087	NA	slateblue
5367	NA	slateblue
6100	NA	slateblue
6282	NA	slateblue
6576	NA	slateblue
7205	NA	slateblue
7659	NA	slateblue
7898	NA	slateblue
8269	NA	slateblue
8276	NA	slateblue
8647	NA	slateblue
8793	NA	slateblue
8916	NA	slateblue
9320	NA	slateblue
9743	NA	slateblue
9779	NA	slateblue
10524	NA	slateblue
10639	NA	slateblue
10868	NA	slateblue
10953	NA	slateblue
11036	NA	slateblue
11268	NA	slateblue
11315	NA	slateblue
11385	NA	slateblue
11457	NA	slateblue
11471	NA	slateblue
12077	NA	slateblue
12352	NA	slateblue
12958	NA	slateblue
13544	NA	slateblue
15116	NA	slateblue
15283	NA	slateblue
15309	NA	slateblue
