nodeName	altName	nodeAttr[nodesPresent, ]
686	NA	tan4
693	NA	tan4
771	NA	tan4
959	NA	tan4
2276	NA	tan4
2404	NA	tan4
2604	NA	tan4
2815	NA	tan4
2881	NA	tan4
3493	NA	tan4
3717	NA	tan4
4094	NA	tan4
4139	NA	tan4
4418	NA	tan4
4421	NA	tan4
4467	NA	tan4
4661	NA	tan4
4741	NA	tan4
5936	NA	tan4
6218	NA	tan4
6412	NA	tan4
6845	NA	tan4
7028	NA	tan4
7471	NA	tan4
7609	NA	tan4
8386	NA	tan4
8645	NA	tan4
8829	NA	tan4
9285	NA	tan4
9488	NA	tan4
9527	NA	tan4
9829	NA	tan4
10087	NA	tan4
10467	NA	tan4
10754	NA	tan4
10917	NA	tan4
11428	NA	tan4
12085	NA	tan4
12790	NA	tan4
13119	NA	tan4
13206	NA	tan4
13316	NA	tan4
14166	NA	tan4
14898	NA	tan4
15028	NA	tan4
15110	NA	tan4
15448	NA	tan4
15480	NA	tan4
