nodeName	altName	nodeAttr[nodesPresent, ]
180	NA	thistle
493	NA	thistle
1288	NA	thistle
1486	NA	thistle
2312	NA	thistle
2415	NA	thistle
2525	NA	thistle
2528	NA	thistle
4056	NA	thistle
4293	NA	thistle
4807	NA	thistle
4846	NA	thistle
5180	NA	thistle
5348	NA	thistle
5419	NA	thistle
5541	NA	thistle
5543	NA	thistle
6094	NA	thistle
6497	NA	thistle
6773	NA	thistle
6874	NA	thistle
7052	NA	thistle
7068	NA	thistle
7413	NA	thistle
7995	NA	thistle
8128	NA	thistle
8176	NA	thistle
8202	NA	thistle
8436	NA	thistle
8451	NA	thistle
8511	NA	thistle
8764	NA	thistle
8955	NA	thistle
9214	NA	thistle
9225	NA	thistle
9586	NA	thistle
9640	NA	thistle
11439	NA	thistle
11663	NA	thistle
11895	NA	thistle
12032	NA	thistle
12067	NA	thistle
12109	NA	thistle
12156	NA	thistle
12568	NA	thistle
12632	NA	thistle
12885	NA	thistle
12971	NA	thistle
13388	NA	thistle
13468	NA	thistle
13532	NA	thistle
13717	NA	thistle
14420	NA	thistle
14478	NA	thistle
14950	NA	thistle
14963	NA	thistle
15344	NA	thistle
15463	NA	thistle
15478	NA	thistle
