nodeName	altName	nodeAttr[nodesPresent, ]
167	NA	thistle3
182	NA	thistle3
410	NA	thistle3
1708	NA	thistle3
1865	NA	thistle3
2001	NA	thistle3
2278	NA	thistle3
2285	NA	thistle3
2445	NA	thistle3
2468	NA	thistle3
2871	NA	thistle3
3695	NA	thistle3
4103	NA	thistle3
4607	NA	thistle3
4708	NA	thistle3
4941	NA	thistle3
5015	NA	thistle3
5022	NA	thistle3
5247	NA	thistle3
5300	NA	thistle3
5732	NA	thistle3
6288	NA	thistle3
6610	NA	thistle3
6836	NA	thistle3
6855	NA	thistle3
7027	NA	thistle3
7809	NA	thistle3
7922	NA	thistle3
8267	NA	thistle3
8345	NA	thistle3
8874	NA	thistle3
8985	NA	thistle3
9276	NA	thistle3
9397	NA	thistle3
9403	NA	thistle3
10823	NA	thistle3
10903	NA	thistle3
11022	NA	thistle3
11369	NA	thistle3
11476	NA	thistle3
11647	NA	thistle3
12146	NA	thistle3
12381	NA	thistle3
12389	NA	thistle3
12431	NA	thistle3
12719	NA	thistle3
12794	NA	thistle3
13251	NA	thistle3
14017	NA	thistle3
14085	NA	thistle3
14108	NA	thistle3
14321	NA	thistle3
14824	NA	thistle3
15131	NA	thistle3
15227	NA	thistle3
15280	NA	thistle3
15331	NA	thistle3
15343	NA	thistle3
15474	NA	thistle3
15494	NA	thistle3
