nodeName	altName	nodeAttr[nodesPresent, ]
80	NA	yellowgreen
202	NA	yellowgreen
204	NA	yellowgreen
239	NA	yellowgreen
492	NA	yellowgreen
550	NA	yellowgreen
588	NA	yellowgreen
612	NA	yellowgreen
1381	NA	yellowgreen
1637	NA	yellowgreen
1892	NA	yellowgreen
2132	NA	yellowgreen
2232	NA	yellowgreen
2370	NA	yellowgreen
2491	NA	yellowgreen
2627	NA	yellowgreen
2705	NA	yellowgreen
2812	NA	yellowgreen
2920	NA	yellowgreen
2989	NA	yellowgreen
3296	NA	yellowgreen
3315	NA	yellowgreen
3349	NA	yellowgreen
3460	NA	yellowgreen
3554	NA	yellowgreen
3843	NA	yellowgreen
3937	NA	yellowgreen
4096	NA	yellowgreen
4423	NA	yellowgreen
4568	NA	yellowgreen
4572	NA	yellowgreen
4628	NA	yellowgreen
4985	NA	yellowgreen
5040	NA	yellowgreen
5315	NA	yellowgreen
5558	NA	yellowgreen
5589	NA	yellowgreen
5624	NA	yellowgreen
5881	NA	yellowgreen
5981	NA	yellowgreen
5991	NA	yellowgreen
6202	NA	yellowgreen
6442	NA	yellowgreen
6713	NA	yellowgreen
6730	NA	yellowgreen
7130	NA	yellowgreen
7283	NA	yellowgreen
7320	NA	yellowgreen
7466	NA	yellowgreen
7476	NA	yellowgreen
7673	NA	yellowgreen
7725	NA	yellowgreen
7786	NA	yellowgreen
7908	NA	yellowgreen
8020	NA	yellowgreen
8045	NA	yellowgreen
8395	NA	yellowgreen
8484	NA	yellowgreen
8538	NA	yellowgreen
8648	NA	yellowgreen
8757	NA	yellowgreen
8774	NA	yellowgreen
8782	NA	yellowgreen
8800	NA	yellowgreen
8840	NA	yellowgreen
9459	NA	yellowgreen
9544	NA	yellowgreen
9834	NA	yellowgreen
10092	NA	yellowgreen
10342	NA	yellowgreen
10706	NA	yellowgreen
10907	NA	yellowgreen
11109	NA	yellowgreen
11329	NA	yellowgreen
11364	NA	yellowgreen
11512	NA	yellowgreen
11577	NA	yellowgreen
11650	NA	yellowgreen
11837	NA	yellowgreen
11882	NA	yellowgreen
11905	NA	yellowgreen
12455	NA	yellowgreen
12488	NA	yellowgreen
13619	NA	yellowgreen
13842	NA	yellowgreen
14079	NA	yellowgreen
14388	NA	yellowgreen
14661	NA	yellowgreen
14861	NA	yellowgreen
14864	NA	yellowgreen
14968	NA	yellowgreen
15020	NA	yellowgreen
15101	NA	yellowgreen
15143	NA	yellowgreen
15208	NA	yellowgreen
15214	NA	yellowgreen
15218	NA	yellowgreen
15237	NA	yellowgreen
15319	NA	yellowgreen
15352	NA	yellowgreen
15487	NA	yellowgreen
15488	NA	yellowgreen
15587	NA	yellowgreen
