nodeName	altName	nodeAttr[nodesPresent, ]
c37	NA	brown
ORF03288	NA	brown
ORF03483	NA	brown
ORF03519	NA	brown
ORF03618	NA	brown
ORF03620	NA	brown
ORF04119	NA	brown
ORF04123	NA	brown
ORF04157	NA	brown
ORF04257	NA	brown
ORF04275	NA	brown
ORF05040	NA	brown
ORF05128	NA	brown
ORF05340	NA	brown
ORF05762	NA	brown
ORF05779	NA	brown
ORF05818	NA	brown
ORF05893	NA	brown
ORF05966	NA	brown
ORF08109	NA	brown
ORF0826	NA	brown
ORF08428	NA	brown
ORFD0039	NA	brown
ORFD0051	NA	brown
ORFD0054	NA	brown
ORFD0057	NA	brown
ORFD0135	NA	brown
ORFD0226	NA	brown
ORFD0229	NA	brown
ORFD0328	NA	brown
Rv0055	NA	brown
Rv0057	NA	brown
Rv0095c	NA	brown
Rv0160c	NA	brown
Rv0211	NA	brown
Rv0213c	NA	brown
Rv0229c	NA	brown
Rv0231	NA	brown
Rv0233	NA	brown
Rv0235c	NA	brown
Rv0237	NA	brown
Rv0255c	NA	brown
Rv0279c	NA	brown
Rv0281	NA	brown
Rv0283	NA	brown
Rv0287	NA	brown
Rv0303	NA	brown
Rv0311	NA	brown
Rv0350	NA	brown
Rv0373c	NA	brown
Rv0378	NA	brown
Rv0411c	NA	brown
Rv0412c	NA	brown
Rv0425c	NA	brown
Rv0439c	NA	brown
Rv0440	NA	brown
Rv0465c	NA	brown
Rv0589	NA	brown
Rv0591	NA	brown
Rv0593	NA	brown
Rv0594	NA	brown
Rv0597c	NA	brown
Rv0599c	NA	brown
Rv0600c	NA	brown
Rv0623	NA	brown
Rv0645c	NA	brown
Rv0647c	NA	brown
Rv0648	NA	brown
Rv0651	NA	brown
Rv0662c	NA	brown
Rv0663	NA	brown
Rv0665	NA	brown
Rv0666	NA	brown
Rv0693	NA	brown
Rv0694	NA	brown
Rv0695	NA	brown
Rv0701	NA	brown
Rv0712	NA	brown
Rv0761c	NA	brown
Rv0766c	NA	brown
Rv0767c	NA	brown
Rv0814c	NA	brown
Rv0818	NA	brown
Rv0857	NA	brown
Rv0867c	NA	brown
Rv0939	NA	brown
Rv0973c	NA	brown
Rv0983	NA	brown
Rv0997	NA	brown
Rv0999	NA	brown
Rv1000	NA	brown
Rv1004c	NA	brown
Rv1006	NA	brown
Rv1007c	NA	brown
Rv1027c	NA	brown
Rv1030	NA	brown
Rv1031	NA	brown
Rv1047	NA	brown
Rv1049	NA	brown
Rv1050	NA	brown
Rv1051c	NA	brown
Rv1053c	NA	brown
Rv1054	NA	brown
Rv1102c	NA	brown
Rv1103c	NA	brown
Rv1107c	NA	brown
Rv1127c	NA	brown
Rv1149	NA	brown
Rv1152	NA	brown
Rv1163	NA	brown
Rv1225c	NA	brown
Rv1357c	NA	brown
Rv1359	NA	brown
Rv1360	NA	brown
Rv1361c	NA	brown
Rv1382	NA	brown
Rv1389	NA	brown
Rv1391	NA	brown
Rv1405c	NA	brown
Rv1409	NA	brown
Rv1411c	NA	brown
Rv1413	NA	brown
Rv1414	NA	brown
Rv1415	NA	brown
Rv1416	NA	brown
Rv1421	NA	brown
Rv1435c	NA	brown
Rv1453	NA	brown
Rv1456c	NA	brown
Rv1458c	NA	brown
Rv1483	NA	brown
Rv1487	NA	brown
Rv1512	NA	brown
Rv1547	NA	brown
Rv1561	NA	brown
Rv1583c	NA	brown
Rv1625c	NA	brown
Rv1630	NA	brown
Rv1726	NA	brown
Rv1745c	NA	brown
Rv1746	NA	brown
Rv1747	NA	brown
Rv1765c	NA	brown
Rv1766	NA	brown
Rv1767	NA	brown
Rv1768	NA	brown
Rv1769	NA	brown
Rv1770	NA	brown
Rv1792	NA	brown
Rv1793	NA	brown
Rv1797	NA	brown
Rv1798	NA	brown
Rv1817	NA	brown
Rv1818c	NA	brown
Rv1819c	NA	brown
Rv1821	NA	brown
Rv1823	NA	brown
Rv1837c	NA	brown
Rv1838c	NA	brown
Rv1848	NA	brown
Rv1857	NA	brown
Rv1864c	NA	brown
Rv1865c	NA	brown
Rv1893	NA	brown
Rv1894c	NA	brown
Rv1920	NA	brown
Rv1930c	NA	brown
Rv1955	NA	brown
Rv1976c	NA	brown
Rv1993c	NA	brown
Rv2013	NA	brown
Rv2134c	NA	brown
Rv2151c	NA	brown
Rv2157c	NA	brown
Rv2160c	NA	brown
Rv2175c	NA	brown
Rv2177c	NA	brown
Rv2231c	NA	brown
Rv2250c	NA	brown
Rv2255c	NA	brown
Rv2256c	NA	brown
Rv2274c	NA	brown
Rv2310	NA	brown
Rv2340c	NA	brown
Rv2371	NA	brown
Rv2389c	NA	brown
Rv2517c	NA	brown
Rv2518c	NA	brown
Rv2538c	NA	brown
Rv2539c	NA	brown
Rv2540c	NA	brown
Rv2581c	NA	brown
Rv2583c	NA	brown
Rv2584c	NA	brown
Rv2585c	NA	brown
Rv2586c	NA	brown
Rv2605c	NA	brown
Rv2611c	NA	brown
Rv2613c	NA	brown
Rv2614c	NA	brown
Rv2616	NA	brown
Rv2630	NA	brown
Rv2653c	NA	brown
Rv2655c	NA	brown
Rv2661c	NA	brown
Rv2663	NA	brown
Rv2677c	NA	brown
Rv2680	NA	brown
Rv2681	NA	brown
Rv2699c	NA	brown
Rv2708c	NA	brown
Rv2717c	NA	brown
Rv2719c	NA	brown
Rv2731	NA	brown
Rv2734	NA	brown
Rv2735c	NA	brown
Rv2736c	NA	brown
Rv2748c	NA	brown
Rv2761c	NA	brown
Rv2763c	NA	brown
Rv2776c	NA	brown
Rv2778c	NA	brown
Rv2780	NA	brown
Rv2782c	NA	brown
Rv2874	NA	brown
Rv2919c	NA	brown
Rv2921c	NA	brown
Rv2923c	NA	brown
Rv2925c	NA	brown
Rv2928	NA	brown
Rv2951c	NA	brown
Rv2969c	NA	brown
Rv2997	NA	brown
Rv2999	NA	brown
Rv3013	NA	brown
Rv3015c	NA	brown
Rv3017c	NA	brown
Rv3019c	NA	brown
Rv3061c	NA	brown
Rv3063	NA	brown
Rv3065	NA	brown
Rv3067	NA	brown
Rv3069	NA	brown
Rv3071	NA	brown
Rv3072c	NA	brown
Rv3080c	NA	brown
Rv3133c	NA	brown
Rv3140	NA	brown
Rv3146	NA	brown
Rv3212	NA	brown
Rv3245c	NA	brown
Rv3277	NA	brown
Rv3281	NA	brown
Rv3302c	NA	brown
Rv3311	NA	brown
Rv3327	NA	brown
Rv3331	NA	brown
Rv3333c	NA	brown
Rv3334	NA	brown
Rv3341	NA	brown
Rv3355c	NA	brown
Rv3357	NA	brown
Rv3358	NA	brown
Rv3360	NA	brown
Rv3373	NA	brown
Rv3374	NA	brown
Rv3375	NA	brown
Rv3381c	NA	brown
Rv3402c	NA	brown
Rv3407	NA	brown
Rv3421c	NA	brown
Rv3423c	NA	brown
Rv3429	NA	brown
Rv3432c	NA	brown
Rv3447c	NA	brown
Rv3459c	NA	brown
Rv3508	NA	brown
Rv3531c	NA	brown
Rv3670	NA	brown
Rv3671c	NA	brown
Rv3688c	NA	brown
Rv3709c	NA	brown
Rv3717	NA	brown
Rv3733c	NA	brown
Rv3735	NA	brown
Rv3739c	NA	brown
Rv3740c	NA	brown
Rv3743c	NA	brown
Rv3744	NA	brown
Rv3752c	NA	brown
Rv3757c	NA	brown
Rv3767c	NA	brown
Rv3781	NA	brown
Rv3782	NA	brown
Rv3784	NA	brown
Rv3786c	NA	brown
Rv3811	NA	brown
Rv3815c	NA	brown
Rv3833	NA	brown
Rv3835	NA	brown
Rv3837c	NA	brown
Rv3849	NA	brown
Rv3850	NA	brown
Rv3873	NA	brown
Rv3889c	NA	brown
Rv3895c	NA	brown
Rv3899c	NA	brown
