nodeName	altName	nodeAttr[nodesPresent, ]
c178	NA	green
c56	NA	green
ORF01756	NA	green
ORF02988	NA	green
ORF03148	NA	green
ORF03389	NA	green
ORF04065	NA	green
ORF04112	NA	green
ORF04211	NA	green
ORF04486	NA	green
ORF05014	NA	green
ORF05164	NA	green
ORFD0012	NA	green
ORFD0106	NA	green
ORFD0108	NA	green
ORFD0145	NA	green
Rv0023	NA	green
Rv0024	NA	green
Rv0027	NA	green
Rv0038	NA	green
Rv0046c	NA	green
Rv0209	NA	green
Rv0254c	NA	green
Rv0260c	NA	green
Rv0374c	NA	green
Rv0381c	NA	green
Rv0397	NA	green
Rv0401	NA	green
Rv0426c	NA	green
Rv0449c	NA	green
Rv0455c	NA	green
Rv0615	NA	green
Rv0621	NA	green
Rv0788	NA	green
Rv0789c	NA	green
Rv0807	NA	green
Rv0851c	NA	green
Rv0889c	NA	green
Rv0981	NA	green
Rv1025	NA	green
Rv1072	NA	green
Rv1162	NA	green
Rv1203c	NA	green
Rv1207	NA	green
Rv1381	NA	green
Rv1385	NA	green
Rv1506c	NA	green
Rv1568	NA	green
Rv1588c	NA	green
Rv1621c	NA	green
Rv1626	NA	green
Rv1628c	NA	green
Rv1799	NA	green
Rv1887	NA	green
Rv1916	NA	green
Rv1921c	NA	green
Rv1922	NA	green
Rv1929c	NA	green
Rv1947	NA	green
Rv1953	NA	green
Rv1965	NA	green
Rv1968	NA	green
Rv1979c	NA	green
Rv1994c	NA	green
Rv1999c	NA	green
Rv2011c	NA	green
Rv2047c	NA	green
Rv2133c	NA	green
Rv2135c	NA	green
Rv2136c	NA	green
Rv2149c	NA	green
Rv2155c	NA	green
Rv2173	NA	green
Rv2251	NA	green
Rv2323c	NA	green
Rv2327	NA	green
Rv2355	NA	green
Rv2359	NA	green
Rv2377c	NA	green
Rv2388c	NA	green
Rv2500c	NA	green
Rv2511	NA	green
Rv2515c	NA	green
Rv2609c	NA	green
Rv2633c	NA	green
Rv2657c	NA	green
Rv2659c	NA	green
Rv2691	NA	green
Rv2695	NA	green
Rv2696c	NA	green
Rv2729c	NA	green
Rv2740	NA	green
Rv2762c	NA	green
Rv2826c	NA	green
Rv2866	NA	green
Rv2867c	NA	green
Rv2991	NA	green
Rv3018c	NA	green
Rv3066	NA	green
Rv3081	NA	green
Rv3099c	NA	green
Rv3123	NA	green
Rv3183	NA	green
Rv3189	NA	green
Rv3229c	NA	green
Rv3282	NA	green
Rv3284	NA	green
Rv3287c	NA	green
Rv3288c	NA	green
Rv3305c	NA	green
Rv3359	NA	green
Rv3383c	NA	green
Rv3449	NA	green
Rv3451	NA	green
Rv3457c	NA	green
Rv3460c	NA	green
Rv3465	NA	green
Rv3471c	NA	green
Rv3488	NA	green
Rv3492c	NA	green
Rv3512	NA	green
Rv3643	NA	green
Rv3759c	NA	green
Rv3829c	NA	green
Rv3851	NA	green
Rv3865	NA	green
Rv3867	NA	green
Rv3881c	NA	green
