nodeName	altName	nodeAttr[nodesPresent, ]
c148	NA	magenta
ORF00822	NA	magenta
ORFD0011	NA	magenta
ORFD0373	NA	magenta
Rv0060	NA	magenta
Rv0375c	NA	magenta
Rv0445c	NA	magenta
Rv0468	NA	magenta
Rv0805	NA	magenta
Rv0835	NA	magenta
Rv0987	NA	magenta
Rv1229c	NA	magenta
Rv1233c	NA	magenta
Rv1234	NA	magenta
Rv1541c	NA	magenta
Rv1545	NA	magenta
Rv1586c	NA	magenta
Rv1590	NA	magenta
Rv1663	NA	magenta
Rv1926c	NA	magenta
Rv1935c	NA	magenta
Rv2336	NA	magenta
Rv2384	NA	magenta
Rv2481c	NA	magenta
Rv2689c	NA	magenta
Rv2711	NA	magenta
Rv2746c	NA	magenta
Rv2765	NA	magenta
Rv2779c	NA	magenta
Rv2812	NA	magenta
Rv3134c	NA	magenta
Rv3267	NA	magenta
Rv3344c	NA	magenta
Rv3462c	NA	magenta
Rv3525c	NA	magenta
Rv3751	NA	magenta
Rv3783	NA	magenta
Rv3875	NA	magenta
