nodeName	altName	nodeAttr[nodesPresent, ]
ORF03309	NA	pink
ORFD0286	NA	pink
ORFD0383	NA	pink
ORFD0390	NA	pink
Rv0059	NA	pink
Rv0252	NA	pink
Rv0352	NA	pink
Rv0376c	NA	pink
Rv0463	NA	pink
Rv0467	NA	pink
Rv0762c	NA	pink
Rv0771	NA	pink
Rv0787	NA	pink
Rv0817c	NA	pink
Rv0819	NA	pink
Rv0826	NA	pink
Rv0952	NA	pink
Rv0954	NA	pink
Rv0961	NA	pink
Rv0966c	NA	pink
Rv1002c	NA	pink
Rv1364c	NA	pink
Rv1595	NA	pink
Rv1596	NA	pink
Rv1691	NA	pink
Rv1948c	NA	pink
Rv1977	NA	pink
Rv1995	NA	pink
Rv2043c	NA	pink
Rv2090	NA	pink
Rv2104c	NA	pink
Rv2332	NA	pink
Rv2338c	NA	pink
Rv2503c	NA	pink
Rv2526	NA	pink
Rv2813	NA	pink
Rv3084	NA	pink
Rv3241c	NA	pink
Rv3243c	NA	pink
Rv3467	NA	pink
Rv3505	NA	pink
Rv3506	NA	pink
Rv3511	NA	pink
Rv3513c	NA	pink
Rv3546	NA	pink
Rv3574	NA	pink
Rv3607c	NA	pink
Rv3683	NA	pink
Rv3741c	NA	pink
Rv3848	NA	pink
Rv3897c	NA	pink
Rv3900c	NA	pink
Rv3916c	NA	pink
