nodeName	altName	nodeAttr[nodesPresent, ]
Blank	NA	turquoise
c13	NA	turquoise
c15	NA	turquoise
c16	NA	turquoise
c180	NA	turquoise
c191	NA	turquoise
c203	NA	turquoise
c207	NA	turquoise
c215	NA	turquoise
c234	NA	turquoise
c242	NA	turquoise
c3	NA	turquoise
c47	NA	turquoise
c73	NA	turquoise
c86	NA	turquoise
c98	NA	turquoise
empty	NA	turquoise
ORF00110	NA	turquoise
ORF00185	NA	turquoise
ORF00188	NA	turquoise
ORF00312	NA	turquoise
ORF00385	NA	turquoise
ORF00388	NA	turquoise
ORF00401	NA	turquoise
ORF00414	NA	turquoise
ORF00540	NA	turquoise
ORF00615	NA	turquoise
ORF00686	NA	turquoise
ORF00723	NA	turquoise
ORF00732	NA	turquoise
ORF00778	NA	turquoise
ORF00805	NA	turquoise
ORF00808	NA	turquoise
ORF00811	NA	turquoise
ORF00812	NA	turquoise
ORF00814	NA	turquoise
ORF00830	NA	turquoise
ORF00917	NA	turquoise
ORF00981	NA	turquoise
ORF01031	NA	turquoise
ORF01061	NA	turquoise
ORF01076	NA	turquoise
ORF01123	NA	turquoise
ORF01125	NA	turquoise
ORF01151	NA	turquoise
ORF01163	NA	turquoise
ORF01167	NA	turquoise
ORF01176	NA	turquoise
ORF01178	NA	turquoise
ORF01217	NA	turquoise
ORF01231	NA	turquoise
ORF01232	NA	turquoise
ORF01250	NA	turquoise
ORF01283	NA	turquoise
ORF01330	NA	turquoise
ORF01365	NA	turquoise
ORF01571	NA	turquoise
ORF01676	NA	turquoise
ORF01680	NA	turquoise
ORF01682	NA	turquoise
ORF01683	NA	turquoise
ORF01684	NA	turquoise
ORF01725	NA	turquoise
ORF01737	NA	turquoise
ORF01751	NA	turquoise
ORF01755	NA	turquoise
ORF01760	NA	turquoise
ORF01824	NA	turquoise
ORF01832	NA	turquoise
ORF01974	NA	turquoise
ORF02013	NA	turquoise
ORF02044	NA	turquoise
ORF02159	NA	turquoise
ORF02212	NA	turquoise
ORF02231	NA	turquoise
ORF02368	NA	turquoise
ORF02561	NA	turquoise
ORF02616	NA	turquoise
ORF02692	NA	turquoise
ORF02708	NA	turquoise
ORF02719	NA	turquoise
ORF02734	NA	turquoise
ORF02824	NA	turquoise
ORF02825	NA	turquoise
ORF02848	NA	turquoise
ORF02877	NA	turquoise
ORF03012	NA	turquoise
ORF03013	NA	turquoise
ORF03092	NA	turquoise
ORF03095	NA	turquoise
