nodeName	altName	nodeAttr[nodesPresent, ]
ORF00827	NA	yellow
ORF01809	NA	yellow
ORF01890	NA	yellow
ORF04289	NA	yellow
ORF04291	NA	yellow
ORF04296	NA	yellow
ORF05172	NA	yellow
ORF05965	NA	yellow
ORF08307	NA	yellow
ORF08411	NA	yellow
ORFD0024	NA	yellow
ORFD0126	NA	yellow
ORFD0291	NA	yellow
ORFD0362	NA	yellow
Rv0009	NA	yellow
Rv0039c	NA	yellow
Rv0042c	NA	yellow
Rv0062	NA	yellow
Rv0092	NA	yellow
Rv0093c	NA	yellow
Rv0234c	NA	yellow
Rv0253	NA	yellow
Rv0256c	NA	yellow
Rv0282	NA	yellow
Rv0288	NA	yellow
Rv0310c	NA	yellow
Rv0325	NA	yellow
Rv0351	NA	yellow
Rv0383c	NA	yellow
Rv0398c	NA	yellow
Rv0400c	NA	yellow
Rv0402c	NA	yellow
Rv0406c	NA	yellow
Rv0410c	NA	yellow
Rv0447c	NA	yellow
Rv0452	NA	yellow
Rv0472c	NA	yellow
Rv0570	NA	yellow
Rv0579	NA	yellow
Rv0590	NA	yellow
Rv0595c	NA	yellow
Rv0607	NA	yellow
Rv0667	NA	yellow
Rv0668	NA	yellow
Rv0688	NA	yellow
Rv0689c	NA	yellow
Rv0692	NA	yellow
Rv0709	NA	yellow
Rv0716	NA	yellow
Rv0718	NA	yellow
Rv0736	NA	yellow
Rv0737	NA	yellow
Rv0739	NA	yellow
Rv0740	NA	yellow
Rv0760c	NA	yellow
Rv0765c	NA	yellow
Rv0791c	NA	yellow
Rv0829	NA	yellow
Rv0833	NA	yellow
Rv0841c	NA	yellow
Rv0855	NA	yellow
Rv0860	NA	yellow
Rv0861c	NA	yellow
Rv0909	NA	yellow
Rv0975c	NA	yellow
Rv0979c	NA	yellow
Rv0998	NA	yellow
Rv1001	NA	yellow
Rv1003	NA	yellow
Rv1005c	NA	yellow
Rv1021	NA	yellow
Rv1029	NA	yellow
Rv1048c	NA	yellow
Rv1052	NA	yellow
Rv1073	NA	yellow
Rv1077	NA	yellow
Rv1080c	NA	yellow
Rv1095	NA	yellow
Rv1096	NA	yellow
Rv1097c	NA	yellow
Rv1099c	NA	yellow
Rv1101c	NA	yellow
Rv1125	NA	yellow
Rv1128c	NA	yellow
Rv1141c	NA	yellow
Rv1143	NA	yellow
Rv1146	NA	yellow
Rv1166	NA	yellow
Rv1168c	NA	yellow
Rv1169c	NA	yellow
Rv1189	NA	yellow
Rv1196	NA	yellow
Rv1197	NA	yellow
Rv1218c	NA	yellow
Rv1355c	NA	yellow
Rv1383	NA	yellow
Rv1386	NA	yellow
Rv1390	NA	yellow
Rv1392	NA	yellow
Rv1406	NA	yellow
Rv1407	NA	yellow
Rv1408	NA	yellow
Rv1429	NA	yellow
Rv1455	NA	yellow
Rv1463	NA	yellow
Rv1503c	NA	yellow
Rv1511	NA	yellow
Rv1529	NA	yellow
Rv1530	NA	yellow
Rv1543	NA	yellow
Rv1551	NA	yellow
Rv1553	NA	yellow
Rv1556	NA	yellow
Rv1573	NA	yellow
Rv1574	NA	yellow
Rv1599	NA	yellow
Rv1603	NA	yellow
Rv1605	NA	yellow
Rv1608c	NA	yellow
Rv1611	NA	yellow
Rv1623c	NA	yellow
Rv1627c	NA	yellow
Rv1629	NA	yellow
Rv1743	NA	yellow
Rv1748	NA	yellow
Rv1749c	NA	yellow
Rv1750c	NA	yellow
Rv1751	NA	yellow
Rv1789	NA	yellow
Rv1794	NA	yellow
Rv1839c	NA	yellow
Rv1847	NA	yellow
Rv1895	NA	yellow
Rv1913	NA	yellow
Rv1919c	NA	yellow
Rv1932	NA	yellow
Rv1937	NA	yellow
Rv1943c	NA	yellow
Rv1951c	NA	yellow
Rv1959c	NA	yellow
Rv1960c	NA	yellow
Rv1962c	NA	yellow
Rv1967	NA	yellow
Rv2015c	NA	yellow
Rv2021c	NA	yellow
Rv2129c	NA	yellow
Rv2153c	NA	yellow
Rv2158c	NA	yellow
Rv2159c	NA	yellow
Rv2174	NA	yellow
Rv2178c	NA	yellow
Rv2199c	NA	yellow
Rv2201	NA	yellow
Rv2203	NA	yellow
Rv2207	NA	yellow
Rv2246	NA	yellow
Rv2247	NA	yellow
Rv2271	NA	yellow
Rv2304c	NA	yellow
Rv2319c	NA	yellow
Rv2321c	NA	yellow
Rv2345	NA	yellow
Rv2347c	NA	yellow
Rv2365c	NA	yellow
Rv2367c	NA	yellow
Rv2393	NA	yellow
Rv2509	NA	yellow
Rv2513	NA	yellow
Rv2514c	NA	yellow
Rv2533c	NA	yellow
Rv2536	NA	yellow
Rv2537c	NA	yellow
Rv2541	NA	yellow
Rv2543	NA	yellow
Rv2553c	NA	yellow
Rv2554c	NA	yellow
Rv2559c	NA	yellow
Rv2561	NA	yellow
Rv2563	NA	yellow
Rv2566	NA	yellow
Rv2568c	NA	yellow
Rv2664	NA	yellow
Rv2738c	NA	yellow
Rv2843	NA	yellow
Rv2901c	NA	yellow
Rv2903c	NA	yellow
Rv2904c	NA	yellow
Rv2917	NA	yellow
Rv2922c	NA	yellow
Rv2926c	NA	yellow
Rv2947c	NA	yellow
Rv2949c	NA	yellow
Rv2965c	NA	yellow
Rv2966c	NA	yellow
Rv2967c	NA	yellow
Rv2968c	NA	yellow
Rv2971	NA	yellow
Rv2995c	NA	yellow
Rv3022c	NA	yellow
Rv3037c	NA	yellow
Rv3039c	NA	yellow
Rv3070	NA	yellow
Rv3148	NA	yellow
Rv3150	NA	yellow
Rv3285	NA	yellow
Rv3297	NA	yellow
Rv3303c	NA	yellow
Rv3312c	NA	yellow
Rv3325	NA	yellow
Rv3329	NA	yellow
Rv3330	NA	yellow
Rv3332	NA	yellow
Rv3340	NA	yellow
Rv3342	NA	yellow
Rv3399	NA	yellow
Rv3405c	NA	yellow
Rv3406	NA	yellow
Rv3425	NA	yellow
Rv3427c	NA	yellow
Rv3428c	NA	yellow
Rv3477	NA	yellow
Rv3547	NA	yellow
Rv3576	NA	yellow
Rv3603c	NA	yellow
Rv3663c	NA	yellow
Rv3672c	NA	yellow
Rv3686c	NA	yellow
Rv3711c	NA	yellow
Rv3715c	NA	yellow
Rv3716c	NA	yellow
Rv3718c	NA	yellow
Rv3719	NA	yellow
Rv3761c	NA	yellow
Rv3807c	NA	yellow
Rv3831	NA	yellow
Rv3838c	NA	yellow
